nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
lauraville,21559,17.15,10437.2,8.3,21559,17.15,10437.2,8.3
levindale,5961,19.11,2625.8,8.42,5961,19.11,2625.8,8.42
liberty square,3548,14.54,1767.7,7.24,3548,14.54,1767.7,7.24
little italy,2765,8.89,1041,3.35,2765,8.89,1041,3.35
loch raven,12601,13.06,8427,8.73,12601,13.06,8427,8.73
locust point,10414,14.05,4850.4,6.55,10414,14.05,4850.4,6.55
locust point industrial area,5166,13.21,1865.4,4.77,5166,13.21,1865.4,4.77
lower edmondson village,794,12.81,526.5,8.49,794,12.81,526.5,8.49
lower herring run park,9449,19.69,3547.3,7.39,9449,19.69,3547.3,7.39
loyola/notre dame,1289,33.05,653,16.74,1289,33.05,653,16.74
lucille park,3691,13.52,1786.4,6.54,3691,13.52,1786.4,6.54
madison park,18466,19.62,7678.9,8.16,18466,19.62,7678.9,8.16
madison-eastend,6477,11.59,2033.3,3.64,6477,11.59,2033.3,3.64
mayfield,11863,19.67,6038.2,10.01,11863,19.67,6038.2,10.01
mcelderry park,13793,14.64,4848.8,5.15,13793,14.64,4848.8,5.15
medfield,7890,20.55,3612.9,9.41,7890,20.55,3612.9,9.41
medford,3031,11.39,1875.5,7.05,3031,11.39,1875.5,7.05
mid-govans,5887,11.39,2845.5,5.5,5887,11.39,2845.5,5.5
mid-town belvedere,27528,22.6,8298.8,6.81,27528,22.6,8298.8,6.81
middle branch/reedbird parks,25522,17.06,9979.11,6.67,25522,17.06,9979.11,6.67
middle east,10760,10.87,3173.7,3.21,10760,10.87,3173.7,3.21
midtown-edmondson,6422,10.6,2567.3,4.24,6422,10.6,2567.3,4.24
millhill,4217,14.34,1646.9,5.6,4217,14.34,1646.9,5.6
milton-montford,4442,11.36,1108.2,2.83,4442,11.36,1108.2,2.83
mondawmin,11512,11.18,5435.9,5.28,11512,11.18,5435.9,5.28
montebello,6846,14.38,3245.1,6.82,6846,14.38,3245.1,6.82
moravia-walther,5409,17.45,2885.3,9.31,5409,17.45,2885.3,9.31
morgan park,3896,23.47,2023.9,12.19,3896,23.47,2023.9,12.19
morgan state university,4844,15.58,2229.7,7.17,4844,15.58,2229.7,7.17
morrell park,15297,12.3,6881.9,5.53,15297,12.3,6881.9,5.53
mosher,6270,14.06,3325,7.46,6270,14.06,3325,7.46
mount holly,3330,8.26,2245.3,5.57,3330,8.26,2245.3,5.57
mount vernon,25306,18.36,8686.99,6.3,25306,18.36,8686.99,6.3
mount washington,64321,28.74,26821.7,11.98,64321,28.74,26821.7,11.98
mount winans,3955,27.85,1609.2,11.33,3955,27.85,1609.2,11.33
mt pleasant park,4265,18.3,1962.2,8.42,4265,18.3,1962.2,8.42
new northwood,9700,14.14,5631.5,8.21,9700,14.14,5631.5,8.21
new southwest/mount clare,8030,12.37,2801.7,4.32,8030,12.37,2801.7,4.32
north harford road,16440,11.74,8209.7,5.86,16440,11.74,8209.7,5.86
north roland park/poplar hill,12599,35.49,5474.3,15.42,12599,35.49,5474.3,15.42
northwest community action,4897,11.03,2584.9,5.82,4897,11.03,2584.9,5.82
o'donnell heights,758,9.24,118.7,1.45,758,9.24,118.7,1.45
oakenshawe,12040,23.24,5294.8,10.22,12040,23.24,5294.8,10.22
oaklee,389,6.38,239.5,3.93,389,6.38,239.5,3.93
old goucher,7025,19.04,2344.7,6.35,7025,19.04,2344.7,6.35
oldtown,8227,11.77,4355.9,6.23,8227,11.77,4355.9,6.23
oliver,18467,12.1,8718.7,5.71,18467,12.1,8718.7,5.71
orangeville,3908,14.06,1906.8,6.86,3908,14.06,1906.8,6.86
orangeville industrial area,3038,14.33,1155.3,5.45,3038,14.33,1155.3,5.45
orchard ridge,5397,12.58,1555.9,3.63,5397,12.58,1555.9,3.63
original northwood,11121,28.3,5304.8,13.5,11121,28.3,5304.8,13.5
